Item ID,Item Name,Category,Version,Item Code
99622642.0,WHX,Product P,35 / A / FtO,B3-23B-1A3-62D-A-287B1D1
16264779.0,WHX,Product A,30 / A / FtO,7F-81E-8C5-267-C-23675DE
35638092.0,WHX,Product P,34 / B / FtO,4A-30E-267-CB3-1-506E7F7
11708904.0,KNB,Product P,32 / B / 31,0D-568-E49-D18-6-8D6C667
73544700.0,DFH,Product G,30 / B / 9,BD-859-C95-F3A-6-954798A
98970920.0,DPR,DPR,89,B4-CA5-576-2BB-C-22AC3F0
26922227.0,LQS,Product C,38 / A / FtO,09-186-8F4-134-C-24F2C4F
88419828.0,FTU,Product R,L / St / Re,7B-88B-1C4-A1E-5-F384A48
91915815.0,RJF,Product P,34 / C / FtO,48-9EE-A35-3BA-C-BB56E5E
38761153.0,YQX,Product N,M+ / St / Re,38-C23-9C5-560-4-A73C109
54388513.0,FTU,Product N,M+ / Sl / Sh,38-20B-AA5-FC1-A-E12AC03
88881738.0,XEB,Product P,34 / B / FtO,0D-DE2-008-E6C-8-05DF67E
90608498.0,AZN,Product Q,33 / A / 32,5F-370-DBF-AD8-1-E787D33
19930695.0,WHX,Product P,33 / C / FtO,C5-949-C9D-B2A-1-7B5DD9D
24064862.0,QID,Product A,40 / B / FtO,BA-F66-8B5-3DD-8-ADF9E45
73544700.0,KNB,Product O,30 / B / 7,68-62B-1BF-0AA-E-C3782E8
53777675.0,FQD,Product I,34 / B / FtO,48-AC9-A98-823-9-02CEB62
34825846.0,KDP,Product H,36 / A / FtO,9A-D32-460-CD8-3-8FEA7B0
57555781.0,AYN,Product H,33 / B / FtO,B2-6F1-C7D-824-4-5AD849C
44945143.0,ZQV,Product W,34 / C / FtO,6F-86A-A6A-DDD-3-AC254C7
62141120.0,NWB,Product H,36 / B / 33,C3-FDE-360-3DC-6-2680F42
96971321.0,WHX,Product P,35 / B / FtO,A9-770-EAB-2C5-4-E45BA7C
88176838.0,KDP,Product N,XL / St / Lo,81-D5E-98B-62D-D-102E61C
29996555.0,WHX,Product D,33 / A / FtO,59-D9E-0C2-348-C-DB04ABA
22559066.0,NSP,Product P,36 / B / FtO,41-E8A-9E1-9F6-D-C3101BB
19402329.0,YQX,Product H,33 / B / 29,64-81D-091-109-3-C04FFAE
23139689.0,RIH,Product P,40 / B / 34,30-955-355-7C8-E-2300D29
23625707.0,WHX,Product P,38 / C / FtO,1C-F31-5C5-A71-9-E27F89C
54388513.0,FTU,Product N,S / Sl / Re,05-029-6A6-72D-D-0E42D55
52659786.0,AYN,Product H,31 / B / FtO,15-6AC-9A1-77D-E-60674C6
24064862.0,CLH,Product B,38 / C / FtO,63-BA8-FA7-C62-7-F90F390
92215853.0,AYN,Product H,34 / A / FtO,4E-2A3-483-73C-6-FDE84AF
40522014.0,OHR,Product D,34 / C / FtO,48-666-903-650-2-93670CB
29493563.0,XEB,Product P,32 / A / FtO,9B-4F6-394-270-9-B42418C
13479579.0,BKT,Product U,37 / A / 7,07-7F9-68C-8B1-4-27DAD91
24064862.0,CLH,Product B,30 / C / FtO,22-F58-AA1-6F6-A-FA217D3
19814633.0,INU,Product D,40 / B / FtO,CC-FB8-FC7-308-A-AF27E5E
71171205.0,RJF,Product P,36 / A / FtO,41-632-13A-3C4-7-746DF74
22559066.0,NSP,Product P,33 / B / FtO,1A-671-750-AA9-8-E6CB734
40529625.0,WHX,Product A,38 / B / 34,7E-DAD-8E2-3C0-B-EC15779
88419828.0,YQX,Product R,M+ / St / Lo,78-F91-FE4-510-0-8763909
39050799.0,AYN,Product H,37 / A / FtO,43-FDF-69F-C0D-E-3029919
72542684.0,XEB,Product P,32 / B / 31,4E-D37-367-866-3-EF79F44
